shop_code,shop_name,brand_name,region,box_qty,product_qty,taras_qty,paper_qty,vm_qty,input_type,status,DO_num,GI_date,arrival_date,GR_date,note
CV 99M2,TIKI,CONVERSE,HCM,0,1.0,,,,-,Pending,1000517962,2026-08-28,,,-
1049,CK BÌNH DƯƠNG,Charles & Keith,HCM,1,,13,,,taras,process,1000519940,2026-09-07,2026-09-08,,-
1049,CK BÌNH DƯƠNG,Charles & Keith,HCM,1,4.0,,,,defect - nhập xong để riêng,process,1000519941,2026-09-07,2026-09-08,,-
1049,CK BÌNH DƯƠNG,Charles & Keith,HCM,108,1695.0,,,,CK2 - CK6,process,1000519947,2026-09-07,2026-09-08,,-
1049,CK BÌNH DƯƠNG,Charles & Keith,HCM,9,,,1023,,túi giấy,process,1000519945,2026-09-07,2026-09-08,,-
1049,CK BÌNH DƯƠNG,Charles & Keith,HCM,82,929.0,,,,CK1 - SL1,process,1000519954,2026-09-08,2026-09-08,,-
EC D119,KHO NVL Q7,MULTI,HCM,0,100.0,,,,-,Pending,80232373,2026-09-08,,,-
EC D119,KHO NVL Q7,MULTI,HCM,0,50.0,,,,-,Pending,80232374,2026-09-08,,,-
EC D119,KHO NVL Q7,MULTI,HCM,0,75.0,,,,-,Pending,80232375,2026-09-08,,,-
5803,Birkenstock Crescent Mall,BIRKENSTOCK,HCM,1,2.0,,,,-,process,1000520020,2026-09-08,2026-09-09,,-
5809,Birkenstock Đà Nẵng,BIRKENSTOCK,tỉnh,1,3.0,,,,-,Pending,1000520061,2026-09-08,,,-
5807,Birkenstock Centre Hà Nội,BIRKENSTOCK,tỉnh,1,3.0,,,,-,Pending,1000520086,2026-09-08,,,-
5802,Birkenstock Vincom Đồng Khởi,BIRKENSTOCK,HCM,0,,3,,,bỏ trong thùng hàng thường,process,1000520115,2026-09-08,2026-09-09,,-
5802,Birkenstock Vincom Đồng Khởi,BIRKENSTOCK,HCM,1,6.0,,,,-,process,1000520126,2026-09-08,2026-09-09,,-
5808,Birkenstock Vạn Hạnh,BIRKENSTOCK,HCM,1,7.0,,,,-,process,1000520172,2026-09-08,2026-09-09,,-
5806,Birkenstock Lotte Tây Hồ,BIRKENSTOCK,tỉnh,1,3.0,,,,-,Pending,1000520215,2026-09-08,,,-
5805,Birkens Gold Coast NT,BIRKENSTOCK,tỉnh,0,13.0,,,,-,Pending,1000520466,2026-09-09,,,-
1152,PD PARC MALL Q8,Pedro,HCM,1,1.0,,,,KCL,process,1000520611,2026-09-09,2026-09-10,,-
1152,PD PARC MALL Q8,Pedro,HCM,1,,3,,,-,process,1000520618,2026-09-09,2026-09-10,,-
1063,CK PARC MALL Q8,Charles & Keith,HCM,0,57.0,,,,-,process,1000520654,2026-09-09,2026-09-11,,-
1063,CK PARC MALL Q8,Charles & Keith,HCM,0,,5,,,-,process,1000520655,2026-09-09,2026-09-11,,-
1132,PD LÊ VĂN SỸ,Pedro,HCM,1,2.0,,,,KCL,process,1000520782,2026-09-09,2026-09-10,,-
1125,PD VIVO,Pedro,HCM,1,3.0,,,,KCL,process,1000520875,2026-09-10,2026-09-10,,-
1132,PD LÊ VĂN SỸ,Pedro,HCM,11,166.0,,,,-,process,1000520878,2026-09-10,2026-09-10,,-
1131,PD VẠN HẠNH,Pedro,HCM,10,154.0,,,,-,process,1000520888,2026-09-10,2026-09-10,,-
1151,PD QUANG TRUNG,Pedro,HCM,10,138.0,,,,-,process,1000520927,2026-09-10,2026-09-10,,-
1151,PD QUANG TRUNG,Pedro,HCM,1,14.0,,,,KCL,process,1000520928,2026-09-10,2026-09-10,,-
1151,PD QUANG TRUNG,Pedro,HCM,1,5.0,,,,đồng phục,process,1000520929,2026-09-10,2026-09-10,,-
1151,PD QUANG TRUNG,Pedro,HCM,1,,2,,,-,process,1000520930,2026-09-10,2026-09-10,,-
1152,PD PARC MALL Q8,Pedro,HCM,8,119.0,,,,-,process,1000520933,2026-09-10,2026-09-10,,-
1136,PD HAI BÀ TRƯNG,Pedro,HCM,6,100.0,,,,-,process,1000520969,2026-09-10,2026-09-10,,-
1141,PD BÌNH DƯƠNG,Pedro,tỉnh,37,453.0,,,,-,process,1000520971,2026-09-10,2026-09-10,,-
1141,PD BÌNH DƯƠNG,Pedro,tỉnh,1,8.0,,,,KCL,process,1000520970,2026-09-10,2026-09-10,,-
1122,PD ĐỒNG KHỞI,Pedro,HCM,6,109.0,,,,-,process,1000520973,2026-09-10,2026-09-10,,-
1122,PD ĐỒNG KHỞI,Pedro,HCM,1,5.0,,,,KCL,process,1000520974,2026-09-10,2026-09-10,,-
1125,PD VIVO,Pedro,HCM,11,147.0,,,,-,process,1000520975,2026-09-10,2026-09-10,,-
1150,PD NGUYỄN TRÃI FLAGSHIP,Pedro,HCM,10,193.0,,,,-,process,1000520976,2026-09-10,2026-09-10,,-
1158,Pedro Cresscent Mall,Pedro,HCM,12,127.0,,,,-,process,1000520977,2026-09-10,2026-09-10,,-
1129,PD SÀI GÒN,Pedro,HCM,8,126.0,,,,-,Pending,-,,2026-09-10,,-
1130,PD THẢO ĐIỀN,Pedro,HCM,10,173.0,,,,-,Pending,-,,2026-09-10,,-
1142,PD TÂN PHÚ,Pedro,HCM,11,164.0,,,,-,Pending,-,,2026-09-10,,-
1157,PD BÌNH TÂN,Pedro,HCM,10,136.0,,,,-,Pending,-,,2026-09-10,,-
