id,delivery_date,post_date,check,checklist,brand_name,shop_code,shop_name,region,PO_num,DO_num,type,box_qty,product_qty,paper_qty,order_qty
60392,2026-09-05,,post null,0,Pedro,1122,PD ĐỒNG KHỞI,HCM,4500227117,80231897,Hàng New,0,,,219
60393,2026-09-05,,post null,0,Pedro,1125,PD VIVO,HCM,4500227118,80231898,Hàng New,0,,,143
60394,2026-09-05,,post null,0,Pedro,1129,PD SÀI GÒN,HCM,4500227119,80231899,Hàng New,0,,,226
60395,2026-09-05,,post null,0,Pedro,1130,PD THẢO ĐIỀN,HCM,4500227120,80231900,Hàng New,0,,,168
60396,2026-09-05,,post null,0,Pedro,1131,PD VẠN HẠNH,HCM,4500227121,80231901,Hàng New,0,,,188
60397,2026-09-05,,post null,0,Pedro,1132,PD LÊ VĂN SỸ,HCM,4500227122,80231902,Hàng New,0,,,166
60398,2026-09-05,,post null,0,Pedro,1136,PD HAI BÀ TRƯNG,HCM,4500227123,80231903,Hàng New,0,,,158
60402,2026-09-05,,post null,0,Pedro,1137,PD VŨNG TÀU,tỉnh,4500227127,80231907,Hàng New,10,121,,121
60403,2026-09-05,,post null,0,Pedro,1139,PD CẦN THƠ,tỉnh,4500227128,80231908,Hàng New,12,133,,133
60404,2026-09-05,,post null,0,Pedro,1141,PD BÌNH DƯƠNG,tỉnh,4500227129,80231909,Hàng New,15,209,,209
60399,2026-09-05,,post null,0,Pedro,1142,PD TÂN PHÚ,HCM,4500227124,80231904,Hàng New,16,199,,199
60405,2026-09-05,,post null,0,Pedro,1143,PD BIÊN HÒA,tỉnh,4500227130,80231910,Hàng New,10,136,,136
60406,2026-09-05,,post null,0,Pedro,1144,PD DN VINCOM,tỉnh,4500227131,80231911,Hàng New,14,168,,168
60407,2026-09-05,,post null,0,Pedro,1146,PD DN LÊ DUẨN,tỉnh,4500227132,80231912,Hàng New,12,153,,153
60391,2026-09-05,,post null,0,Pedro,1150,PD NGUYỄN TRÃI FLAGSHIP,HCM,4500227116,80231896,Hàng New,16,216,,216
60400,2026-09-05,,post null,0,Pedro,1151,PD QUANG TRUNG,HCM,4500227125,80231905,Hàng New,0,,,197
60401,2026-09-05,,post null,0,Pedro,1152,PD PARC MALL Q8,HCM,4500227126,80231906,Hàng New,11,148,,148
60408,2026-09-05,,post null,0,Pedro,1153,PD HUẾ,tỉnh,4500227133,80231913,Hàng New,11,123,,123
60410,2026-09-05,,post null,0,Pedro,1157,PD BÌNH TÂN,HCM,4500227135,80231915,Hàng New,14,179,,179
60411,2026-09-05,,post null,0,Pedro,1158,Pedro Cresscent Mall,HCM,4500227136,80231916,Hàng New,13,155,,155
60412,2026-09-05,,post null,0,Pedro,1161,PD ĐÀ NẴNG THANH KHÊ,tỉnh,4500227137,80231917,Hàng New,12,159,,161
60390,2026-09-05,,post null,0,MULTI,4000,KHO CHUNG VẬT TƯ ECOM,HCM,4500227334,80231895,BĂNG KEO CHUYỂN NVL,0,,,240
60370,2026-09-05,,post null,0,Charles & Keith,CK 99M3,KHO ECOM THỦ ĐỨC,HCM,4500227315,80231872,TIKI,0,,,352
60371,2026-09-05,,post null,0,Charles & Keith,CK 99M3,KHO ECOM THỦ ĐỨC,HCM,4500227333,80231874,TIKI,0,,,51
60409,2026-09-05,,post null,0,Pedro,PD 99M3,KHO ECOM THỦ ĐỨC,HCM,4500227134,80231914,Hàng New,0,,,192
